neg_utilization,neg_avg_speed
-6.084337349397590522e-01,-9.999570069277163853e-01
-6.144578313253011848e-01,-9.979951814922897180e-01
-6.084337349397590522e-01,-9.999570069277163853e-01
-6.084337349397590522e-01,-9.999570069277163853e-01
-6.144578313253011848e-01,-9.979951814922897180e-01
-6.144578313253011848e-01,-9.979951814922897180e-01
-6.084337349397590522e-01,-9.999570069277163853e-01
-6.144578313253011848e-01,-9.979951814922897180e-01
-6.144578313253011848e-01,-9.979951814922897180e-01
-6.084337349397590522e-01,-9.999570069277163853e-01
-6.144578313253011848e-01,-9.979951814922897180e-01
-6.144578313253011848e-01,-9.979951814922897180e-01
-6.084337349397590522e-01,-9.999570069277163853e-01
-6.144578313253011848e-01,-9.979951814922897180e-01
-6.144578313253011848e-01,-9.979951814922897180e-01
-6.084337349397590522e-01,-9.999570069277163853e-01
-6.144578313253011848e-01,-9.979951814922897180e-01
-6.144578313253011848e-01,-9.979951814922897180e-01
-6.084337349397590522e-01,-9.999570069277163853e-01
-6.144578313253011848e-01,-9.979951814922897180e-01
-6.084337349397590522e-01,-9.999570069277163853e-01
-6.144578313253011848e-01,-9.979951814922897180e-01
-6.144578313253011848e-01,-9.979951814922897180e-01
-6.084337349397590522e-01,-9.999570069277163853e-01
-6.144578313253011848e-01,-9.979951814922897180e-01
-6.144578313253011848e-01,-9.979951814922897180e-01
-6.144578313253011848e-01,-9.979951814922897180e-01
-6.144578313253011848e-01,-9.979951814922897180e-01
-6.144578313253011848e-01,-9.979951814922897180e-01
-6.144578313253011848e-01,-9.979951814922897180e-01
-6.084337349397590522e-01,-9.999570069277163853e-01
-6.144578313253011848e-01,-9.979951814922897180e-01
-6.144578313253011848e-01,-9.979951814922897180e-01
-6.084337349397590522e-01,-9.999570069277163853e-01
-6.144578313253011848e-01,-9.979951814922897180e-01
-6.144578313253011848e-01,-9.979951814922897180e-01
-6.084337349397590522e-01,-9.999570069277163853e-01
-6.084337349397590522e-01,-9.999570069277163853e-01
-6.084337349397590522e-01,-9.999570069277163853e-01
-6.084337349397590522e-01,-9.999570069277163853e-01
-6.144578313253011848e-01,-9.979951814922897180e-01
-6.144578313253011848e-01,-9.979951814922897180e-01
-6.144578313253011848e-01,-9.979951814922897180e-01
-6.084337349397590522e-01,-9.999570069277163853e-01
-6.084337349397590522e-01,-9.999570069277163853e-01
-6.084337349397590522e-01,-9.999570069277163853e-01
-6.084337349397590522e-01,-9.999570069277163853e-01
-6.084337349397590522e-01,-9.999570069277163853e-01
-6.084337349397590522e-01,-9.999570069277163853e-01
-6.144578313253011848e-01,-9.979951814922897180e-01
-6.084337349397590522e-01,-9.999570069277163853e-01
-6.084337349397590522e-01,-9.999570069277163853e-01
-6.084337349397590522e-01,-9.999570069277163853e-01
-6.144578313253011848e-01,-9.979951814922897180e-01
-6.084337349397590522e-01,-9.999570069277163853e-01
-6.084337349397590522e-01,-9.999570069277163853e-01
-6.144578313253011848e-01,-9.979951814922897180e-01
-6.144578313253011848e-01,-9.979951814922897180e-01
-6.084337349397590522e-01,-9.999570069277163853e-01
-6.084337349397590522e-01,-9.999570069277163853e-01
-6.144578313253011848e-01,-9.979951814922897180e-01
-6.024096385542169196e-01,-9.999570069277163853e-01
-6.144578313253011848e-01,-9.961809001364507754e-01
-6.144578313253011848e-01,-9.961809001364507754e-01
-6.024096385542169196e-01,-9.999570069277163853e-01
-6.084337349397590522e-01,-9.979951814922897180e-01
-6.084337349397590522e-01,-9.979951814922897180e-01
-6.084337349397590522e-01,-9.979951814922897180e-01
-6.084337349397590522e-01,-9.979951814922897180e-01
-6.084337349397590522e-01,-9.979951814922897180e-01
-6.084337349397590522e-01,-9.979951814922897180e-01
-6.084337349397590522e-01,-9.979951814922897180e-01
-6.084337349397590522e-01,-9.979951814922897180e-01
-6.084337349397590522e-01,-9.979951814922897180e-01
-6.084337349397590522e-01,-9.979951814922897180e-01
-6.084337349397590522e-01,-9.979951814922897180e-01
