neg_utilization,neg_avg_speed
-5.000000000000000000e-01,-9.234249675806724955e-01
-5.000000000000000000e-01,-9.234249675806724955e-01
-5.000000000000000000e-01,-9.234249675806724955e-01
-5.000000000000000000e-01,-9.234249675806724955e-01
-5.000000000000000000e-01,-9.234249675806724955e-01
-4.666666666666666741e-01,-9.499810624829427841e-01
-5.000000000000000000e-01,-9.234249675806724955e-01
-5.047619047619047450e-01,-9.108436006370720373e-01
-5.238095238095238360e-01,-9.092046628335945790e-01
-5.000000000000000000e-01,-9.234249675806724955e-01
-4.666666666666666741e-01,-9.499810624829427841e-01
-4.666666666666666741e-01,-9.499810624829427841e-01
-5.238095238095238360e-01,-9.092046628335944680e-01
-4.904761904761904545e-01,-9.226578462486874077e-01
-4.904761904761904545e-01,-9.226578462486874077e-01
-4.904761904761904545e-01,-9.226578462486874077e-01
-5.000000000000000000e-01,-9.221155870278647804e-01
-4.904761904761904545e-01,-9.226578462486874077e-01
-4.904761904761904545e-01,-9.226578462486874077e-01
-4.904761904761904545e-01,-9.226578462486874077e-01
-4.904761904761904545e-01,-9.226578462486874077e-01
-4.904761904761904545e-01,-9.226578462486874077e-01
-5.000000000000000000e-01,-9.221155870278647804e-01
-4.904761904761904545e-01,-9.226578462486874077e-01
-4.904761904761904545e-01,-9.226578462486874077e-01
-5.000000000000000000e-01,-9.221155870278647804e-01
-4.380952380952380931e-01,-9.488306557222375703e-01
-4.523809523809523836e-01,-9.487674037862721121e-01
-4.523809523809523836e-01,-9.487674037862721121e-01
-4.380952380952380931e-01,-9.488306557222375703e-01
-4.523809523809523836e-01,-9.487674037862721121e-01
-4.666666666666666741e-01,-9.485000384112625138e-01
-4.523809523809523836e-01,-9.487674037862721121e-01
-4.523809523809523836e-01,-9.487674037862721121e-01
-4.523809523809523836e-01,-9.487674037862721121e-01
-4.523809523809523836e-01,-9.487674037862721121e-01
-4.523809523809523836e-01,-9.487674037862721121e-01
-4.523809523809523836e-01,-9.487674037862721121e-01
-4.380952380952380931e-01,-9.488306557222375703e-01
-4.523809523809523836e-01,-9.487674037862721121e-01
-4.380952380952380931e-01,-9.488306557222375703e-01
-4.523809523809523836e-01,-9.487674037862721121e-01
-4.523809523809523836e-01,-9.487674037862721121e-01
-3.952380952380952217e-01,-9.492936906022764187e-01
-3.952380952380952217e-01,-9.492936906022764187e-01
-4.523809523809523836e-01,-9.487674037862721121e-01
-4.523809523809523836e-01,-9.487674037862721121e-01
-5.238095238095238360e-01,-9.092046628335943570e-01
-5.000000000000000000e-01,-9.208099145182059297e-01
-5.000000000000000000e-01,-9.208099145182059297e-01
-5.000000000000000000e-01,-9.208099145182059297e-01
-5.000000000000000000e-01,-9.208099145182059297e-01
-5.000000000000000000e-01,-9.208099145182059297e-01
-4.904761904761904545e-01,-9.213250661622041093e-01
-4.857142857142857095e-01,-9.215905109719171318e-01
-4.904761904761904545e-01,-9.213250661622041093e-01
-4.904761904761904545e-01,-9.213250661622041093e-01
-4.857142857142857095e-01,-9.215905109719171318e-01
-4.857142857142857095e-01,-9.215905109719171318e-01
-4.904761904761904545e-01,-9.213250661622041093e-01
-4.857142857142857095e-01,-9.215905109719171318e-01
