neg_utilization,neg_min_speed
-5.914634146341463117e-01,-8.858893836140040445e-01
-5.914634146341463117e-01,-8.858893836140040445e-01
-5.914634146341463117e-01,-8.858893836140040445e-01
-5.914634146341463117e-01,-8.858893836140040445e-01
-5.914634146341463117e-01,-8.858893836140040445e-01
-5.914634146341463117e-01,-8.858893836140040445e-01
-5.914634146341463117e-01,-8.858893836140040445e-01
-5.914634146341463117e-01,-8.858893836140040445e-01
-5.914634146341463117e-01,-8.858893836140040445e-01
-5.914634146341463117e-01,-8.858893836140040445e-01
-5.914634146341463117e-01,-8.858893836140040445e-01
-5.914634146341463117e-01,-8.858893836140040445e-01
-5.914634146341463117e-01,-8.858893836140040445e-01
-5.914634146341463117e-01,-8.858893836140040445e-01
-5.914634146341463117e-01,-8.858893836140040445e-01
-5.914634146341463117e-01,-8.858893836140040445e-01
-5.914634146341463117e-01,-8.858893836140040445e-01
-5.914634146341463117e-01,-8.858893836140040445e-01
-5.914634146341463117e-01,-8.858893836140040445e-01
-5.914634146341463117e-01,-8.858893836140040445e-01
-5.914634146341463117e-01,-8.858893836140040445e-01
-5.914634146341463117e-01,-8.858893836140040445e-01
-5.914634146341463117e-01,-8.858893836140040445e-01
-5.914634146341463117e-01,-8.858893836140040445e-01
-5.914634146341463117e-01,-8.858893836140040445e-01
-5.914634146341463117e-01,-8.858893836140040445e-01
-5.914634146341463117e-01,-8.858893836140040445e-01
-5.914634146341463117e-01,-8.858893836140040445e-01
-5.914634146341463117e-01,-8.858893836140040445e-01
-5.914634146341463117e-01,-8.858893836140040445e-01
-5.914634146341463117e-01,-8.858893836140040445e-01
-5.914634146341463117e-01,-8.858893836140040445e-01
-5.914634146341463117e-01,-8.858893836140040445e-01
-5.914634146341463117e-01,-8.858893836140040445e-01
-5.914634146341463117e-01,-8.858893836140040445e-01
-5.914634146341463117e-01,-8.858893836140040445e-01
-5.914634146341463117e-01,-8.858893836140040445e-01
-5.914634146341463117e-01,-8.858893836140040445e-01
-5.914634146341463117e-01,-8.858893836140040445e-01
-5.914634146341463117e-01,-8.858893836140040445e-01
-5.914634146341463117e-01,-8.858893836140040445e-01
-5.914634146341463117e-01,-8.858893836140040445e-01
-5.914634146341463117e-01,-8.858893836140040445e-01
-5.914634146341463117e-01,-8.858893836140040445e-01
-5.914634146341463117e-01,-8.858893836140040445e-01
-5.914634146341463117e-01,-8.858893836140040445e-01
-5.914634146341463117e-01,-8.858893836140040445e-01
-5.914634146341463117e-01,-8.858893836140040445e-01
-5.914634146341463117e-01,-8.858893836140040445e-01
-5.914634146341463117e-01,-8.858893836140040445e-01
-5.914634146341463117e-01,-8.858893836140040445e-01
-5.914634146341463117e-01,-8.858893836140040445e-01
-5.914634146341463117e-01,-8.858893836140040445e-01
-5.914634146341463117e-01,-8.858893836140040445e-01
-5.914634146341463117e-01,-8.858893836140040445e-01
-5.914634146341463117e-01,-8.858893836140040445e-01
-5.914634146341463117e-01,-8.858893836140040445e-01
-5.914634146341463117e-01,-8.858893836140040445e-01
-5.914634146341463117e-01,-8.858893836140040445e-01
-5.914634146341463117e-01,-8.858893836140040445e-01
-5.914634146341463117e-01,-8.858893836140040445e-01
-5.914634146341463117e-01,-8.858893836140040445e-01
-5.914634146341463117e-01,-8.858893836140040445e-01
-5.914634146341463117e-01,-8.858893836140040445e-01
-5.914634146341463117e-01,-8.858893836140040445e-01
-5.914634146341463117e-01,-8.858893836140040445e-01
-5.914634146341463117e-01,-8.858893836140040445e-01
-5.914634146341463117e-01,-8.858893836140040445e-01
-5.914634146341463117e-01,-8.858893836140040445e-01
-5.914634146341463117e-01,-8.858893836140040445e-01
-5.914634146341463117e-01,-8.858893836140040445e-01
-5.914634146341463117e-01,-8.858893836140040445e-01
-5.914634146341463117e-01,-8.858893836140040445e-01
-5.914634146341463117e-01,-8.858893836140040445e-01
-5.914634146341463117e-01,-8.858893836140040445e-01
-5.914634146341463117e-01,-8.858893836140040445e-01
-5.914634146341463117e-01,-8.858893836140040445e-01
-5.914634146341463117e-01,-8.858893836140040445e-01
-5.914634146341463117e-01,-8.858893836140040445e-01
-5.914634146341463117e-01,-8.858893836140040445e-01
-5.914634146341463117e-01,-8.858893836140040445e-01
-5.914634146341463117e-01,-8.858893836140040445e-01
-5.914634146341463117e-01,-8.858893836140040445e-01
-5.914634146341463117e-01,-8.858893836140040445e-01
-5.914634146341463117e-01,-8.858893836140040445e-01
-5.914634146341463117e-01,-8.858893836140040445e-01
-5.914634146341463117e-01,-8.858893836140040445e-01
-5.914634146341463117e-01,-8.858893836140040445e-01
-5.914634146341463117e-01,-8.858893836140040445e-01
-5.914634146341463117e-01,-8.858893836140040445e-01
-5.914634146341463117e-01,-8.858893836140040445e-01
-5.914634146341463117e-01,-8.858893836140040445e-01
-5.914634146341463117e-01,-8.858893836140040445e-01
-5.914634146341463117e-01,-8.858893836140040445e-01
-5.914634146341463117e-01,-8.858893836140040445e-01
