neg_utilization,neg_avg_speed
-6.285714285714285587e-01,-9.881866411645733317e-01
-6.190476190476190688e-01,-9.881866411645734427e-01
-6.142857142857143238e-01,-9.881866411645734427e-01
-6.142857142857143238e-01,-9.881866411645733317e-01
-6.142857142857143238e-01,-9.881866411645733317e-01
-6.047619047619047228e-01,-9.872075489439416929e-01
-6.047619047619047228e-01,-9.872075489439416929e-01
-6.190476190476190688e-01,-9.886638512840629778e-01
-6.190476190476190688e-01,-9.886638512840629778e-01
-6.095238095238095788e-01,-9.877012773098403642e-01
-6.095238095238095788e-01,-9.877012773098403642e-01
-6.333333333333333037e-01,-9.886638512840629778e-01
-5.523809523809524169e-01,-9.951660088400847703e-01
-6.238095238095238138e-01,-9.877012773098403642e-01
-6.190476190476190688e-01,-9.886638512840629778e-01
-6.095238095238095788e-01,-9.877012773098403642e-01
-6.095238095238095788e-01,-9.877012773098403642e-01
-6.095238095238095788e-01,-9.877012773098403642e-01
-6.095238095238095788e-01,-9.877012773098403642e-01
-6.095238095238095788e-01,-9.877012773098403642e-01
-6.190476190476190688e-01,-9.866883939923357660e-01
-6.190476190476190688e-01,-9.853066561849135319e-01
-6.142857142857143238e-01,-9.881866411645733317e-01
-5.857142857142857428e-01,-9.968536762734918621e-01
-5.999999999999999778e-01,-9.867052379630036896e-01
-6.047619047619047228e-01,-9.872075489439415819e-01
-6.047619047619047228e-01,-9.872075489439415819e-01
-6.047619047619047228e-01,-9.872075489439415819e-01
-6.047619047619047228e-01,-9.872075489439415819e-01
-6.142857142857143238e-01,-9.867885358570805954e-01
-6.190476190476190688e-01,-9.853066561849135319e-01
-5.666666666666666519e-01,-9.951660088400849924e-01
-6.095238095238095788e-01,-9.877012773098403642e-01
-5.666666666666666519e-01,-9.951660088400849924e-01
-6.238095238095238138e-01,-9.877012773098403642e-01
-5.761904761904761418e-01,-9.960243772180062960e-01
-6.095238095238095788e-01,-9.877012773098403642e-01
-6.238095238095238138e-01,-9.877012773098403642e-01
-5.666666666666666519e-01,-9.951660088400849924e-01
-6.095238095238095788e-01,-9.877012773098403642e-01
-5.761904761904761418e-01,-9.960243772180062960e-01
-6.095238095238095788e-01,-9.877012773098404752e-01
-6.047619047619047228e-01,-9.872075489439415819e-01
-6.095238095238095788e-01,-9.877012773098403642e-01
-6.095238095238095788e-01,-9.877012773098403642e-01
-6.095238095238095788e-01,-9.877012773098403642e-01
-6.142857142857143238e-01,-9.877012773098404752e-01
-6.238095238095238138e-01,-9.877012773098404752e-01
-6.095238095238095788e-01,-9.877012773098403642e-01
-6.095238095238095788e-01,-9.877012773098403642e-01
-6.047619047619047228e-01,-9.872075489439416929e-01
-6.047619047619047228e-01,-9.872075489439416929e-01
-6.047619047619047228e-01,-9.872075489439416929e-01
