neg_utilization,neg_avg_speed
-3.523809523809524058e-01,-9.464447271179374788e-01
-3.523809523809524058e-01,-9.464447271179374788e-01
-2.761904761904762085e-01,-9.751916775729060349e-01
-2.761904761904762085e-01,-9.751916775729060349e-01
-2.761904761904762085e-01,-9.751916775729060349e-01
-2.761904761904762085e-01,-9.751916775729060349e-01
-3.523809523809524058e-01,-9.464447271179374788e-01
-2.761904761904762085e-01,-9.751916775729060349e-01
-3.523809523809524058e-01,-9.464447271179374788e-01
-3.523809523809524058e-01,-9.464447271179374788e-01
-2.761904761904762085e-01,-9.751916775729060349e-01
-3.523809523809524058e-01,-9.464447271179374788e-01
-3.523809523809524058e-01,-9.464447271179374788e-01
-2.761904761904762085e-01,-9.751916775729060349e-01
-2.761904761904762085e-01,-9.751916775729060349e-01
-2.761904761904762085e-01,-9.751916775729060349e-01
-3.523809523809524058e-01,-9.464447271179374788e-01
-3.523809523809524058e-01,-9.464447271179374788e-01
-2.761904761904762085e-01,-9.751916775729060349e-01
-3.523809523809524058e-01,-9.464447271179374788e-01
