neg_utilization,neg_min_speed
-4.375000000000000000e-01,-9.699999999999999734e-01
-3.750000000000000000e-01,-9.699999999999999734e-01
-3.750000000000000000e-01,-9.699999999999999734e-01
-3.750000000000000000e-01,-9.699999999999999734e-01
-3.750000000000000000e-01,-9.699999999999999734e-01
-3.125000000000000000e-01,-9.699999999999999734e-01
-3.125000000000000000e-01,-9.699999999999999734e-01
-3.125000000000000000e-01,-9.699999999999999734e-01
-3.125000000000000000e-01,-9.699999999999999734e-01
-3.125000000000000000e-01,-9.699999999999999734e-01
-2.500000000000000000e-01,-9.699999999999999734e-01
-2.500000000000000000e-01,-9.699999999999999734e-01
-2.500000000000000000e-01,-9.699999999999999734e-01
-2.500000000000000000e-01,-9.699999999999999734e-01
-2.500000000000000000e-01,-9.699999999999999734e-01
-2.500000000000000000e-01,-9.699999999999999734e-01
-2.500000000000000000e-01,-9.699999999999999734e-01
-3.750000000000000000e-01,-9.699999999999999734e-01
-2.500000000000000000e-01,-9.699999999999999734e-01
-2.500000000000000000e-01,-9.699999999999999734e-01
-2.500000000000000000e-01,-9.699999999999999734e-01
-3.125000000000000000e-01,-9.699999999999999734e-01
-4.375000000000000000e-01,-9.699999999999999734e-01
-3.750000000000000000e-01,-9.699999999999999734e-01
-3.750000000000000000e-01,-9.699999999999999734e-01
-3.750000000000000000e-01,-9.699999999999999734e-01
-5.000000000000000000e-01,-9.699999999999999734e-01
-2.500000000000000000e-01,-9.699999999999999734e-01
-4.375000000000000000e-01,-9.699999999999999734e-01
-2.500000000000000000e-01,-9.699999999999999734e-01
-4.218750000000000000e-01,-9.699999999999999734e-01
-4.375000000000000000e-01,-9.699999999999999734e-01
-3.750000000000000000e-01,-9.699999999999999734e-01
-3.125000000000000000e-01,-9.699999999999999734e-01
-2.500000000000000000e-01,-9.699999999999999734e-01
-2.500000000000000000e-01,-9.699999999999999734e-01
-3.437500000000000000e-01,-9.699999999999999734e-01
-3.437500000000000000e-01,-9.699999999999999734e-01
-3.750000000000000000e-01,-9.699999999999999734e-01
-4.375000000000000000e-01,-9.699999999999999734e-01
