neg_utilization,neg_avg_speed
-5.400000000000000355e-01,-9.703639044451100037e-01
-5.600000000000000533e-01,-9.674500810525538119e-01
-5.600000000000000533e-01,-9.674500810525538119e-01
-5.600000000000000533e-01,-9.674500810525538119e-01
-5.400000000000000355e-01,-9.703639044451100037e-01
-5.600000000000000533e-01,-9.701467381222881325e-01
-5.600000000000000533e-01,-9.701467381222881325e-01
-5.500000000000000444e-01,-9.688781721273774794e-01
-5.500000000000000444e-01,-9.688781721273774794e-01
-5.500000000000000444e-01,-9.661395287345341254e-01
-5.500000000000000444e-01,-9.716323857106725637e-01
-5.600000000000000533e-01,-9.636255876115821239e-01
-5.600000000000000533e-01,-9.636255876115821239e-01
-5.600000000000000533e-01,-9.636255876115821239e-01
-5.600000000000000533e-01,-9.636255876115821239e-01
-5.600000000000000533e-01,-9.701467381222881325e-01
-5.500000000000000444e-01,-9.661395287345341254e-01
-5.500000000000000444e-01,-9.661395287345341254e-01
-5.500000000000000444e-01,-9.716323857106727857e-01
-5.500000000000000444e-01,-9.716323857106727857e-01
